s_no,district,station_name,address,latitude,longitude
512,Sabarkantha,Himatnagar B Div.,Himatnagar B Div. Police Station Himatnagar,23.597028,72.958525
513,Sabarkantha,Idar,Idar Police Station Highway Road Idar Dist -Sabarkantha,23.837663,73.004429
514,Sabarkantha,Jadar,Jadar Police Station Ta-Idar Dist -Sabarkantha,23.745771,72.935984
515,Sabarkantha,Khedbrahma,Khedbrahma Police Station Highway Road,24.024858,73.045784
516,Sabarkantha,Kheroj,Kheroj Police Station Ta- Khedbrahma Dist -Sabarkantha,24.229329,73.009835
517,Sabarkantha,Mahila,Women Police Station Opposite to sp Office Himatnagar,23.596769,72.958513
518,Sabarkantha,Poshina,Poshina Police Station Ta- Khedbrahma Dist -Sabarkantha,24.367321,73.030962
519,Sabarkantha,Prantij,Prantij Police Station Highway Road,23.443977,72.853419
520,Sabarkantha,Talod,Talod police station Talod,23.935734,73.038302
521,Sabarkantha,Vadali,Vadali police station Vadali,23.937952,73.038589
522,Sabarkantha,Vijaynagar,Vijaynagari police station sabarkantha,24.005753,73.3617
523,Sabarkantha,Chithoda,Chidhoda Police Station Ta-Vijaynagar Dist -Sabarkantha,23.907153,73.324513
524,Surat City,Adajan,"Bh. Gangeshwar Mahadev Mandir, Adajan, Surat",21.198697,72.790226
525,Surat City,Amroli,"Community Hall Ganeshpura. Sayan Road, Amroli, Surat",21.24747,72.85179
526,Surat City,Athwalines,"SMC Museum Building, Opp.Gandhi Bagh, Chowkbazar. Surat.",21.195623,72.819921
527,Surat City,Chowk Bazar,"Primary School No.77, Parsiwad, Ranitalao, Surat.",21.204058,72.827428
528,Surat City,Dindoli,"Near Sai Baba Mandir, Jamai Mahollo, Dindoli, Surat.",21.155065,72.869293
529,Surat City,Dumas,"Nr. Post Office, Dumas Gam, Surat",21.094225,72.70772
530,Surat City,Hajira,"Near Essar, Hazira Road, Surat.",21.146819,72.660512
531,Surat City,Ichchhapor,"Near Kawas Village Bus Stand, Hajira Road, Surat.",21.18594,72.710221
532,Surat City,Jahangirpura,"Mora Bhagal Police Choki Building, Morabhagal, Jahangirpura, Surat.",21.222434,72.791534
533,Surat City,Kapodra,"Opp. Dharookavala College, Varachha Road,Surat",21.220585,72.875537
534,Surat City,Katargam,"Opp. Ramji Mandir, Katargam, Surat",21.223198,72.83314
535,Surat City,Khatodara,"Near Joganimata Mandir, Udhna Magdalla Road, Khatodara. Surat",21.176563,72.831728
536,Surat City,Limbayat,Near Maruti Nagar Char Rasta Limbayat. Surat,21.175978,72.857099
537,Surat City,Mahidharpura,"Near Mahidharapura Post Office, Tower Road. Surat",21.198336,72.833811
538,Surat City,Mahila,"Umra Police Station Building, Behind Police Pared Ground, Athawalines, Surat.",21.179095,72.803725
539,Surat City,Marin (Hajira),"Near Haziragam, Haziragam Road, Surat.",21.096536,72.650794
540,Surat City,Pandesara,"Opp. Batliboy Company, Pandesara GIDC Main Road, Pandesara. Surat",21.141909,72.840005
541,Surat City,Puna,"Near Bhaktidham Mandir, Puna Kumbharia Road, Surat.",21.189214,72.872036
542,Surat City,Rander,"Rander Town, Opp. Rander Bus Stand, Rander. Surat.",21.218406,72.79461
543,Surat City,Sachin,"Surat-Navsari Main Road, Sachin, Surat",21.086989,72.881619
544,Surat City,Sachin GIDC,"Old P&E Office, Near Sachin GIDC Naka, Surat",21.10048,72.864941
545,Surat City,Salabatpura,"Salabatpura Main Road, Salabatpura, Surat.",21.191099,72.836508
546,Surat City,Sarthana,"Vraj Chowk, Simada Road, Sarthana, Surat.",21.22222,72.903402
547,Surat City,Udhana,"Udhana Road No.0, Udhana, Surat.",21.165471,72.850854
548,Surat City,Umara,"Behind Police Pared Ground, Athavalines, Surat.",21.179095,72.803725
